Picks recorded for 2026-08-12 (9 upcoming games, 49 hitters)
1 opener matchup(s) excluded
+---------------------------------------------------------------+
|      Top 50 by Prob % (heuristic, what the tool ranks on)     |
+----+---------------------+-----+------+------+--------+-------+
| #  | Player              |  Tm | H-AB | BB/K | Prob % | Model |
+----+---------------------+-----+------+------+--------+-------+
| 1  | Spencer Torkelson   | DET | 8-18 | 4/3  | 92.5%  | 59.8% |
| 2  | Kevin McGonigle     | DET | 9-22 | 2/3  | 92.0%  | 66.0% |
| 3  | Steven Kwan         | CLE | 9-24 | 2/6  | 91.3%  | 69.7% |
| 4  | Chase DeLauter      | CLE | 8-22 | 3/5  | 89.6%  | 71.0% |
| 5  | Alex Bregman        | CHC | 8-22 | 2/4  | 88.6%  | 69.0% |
| 6  | Angel Martínez      | CLE | 7-20 | 0/6  | 82.1%  | 66.3% |
| 7  | Griffin Conine      | MIA | 6-17 | 2/6  | 80.9%  | 69.4% |
| 8  | Jake Mangum         | PIT | 6-19 | 2/6  | 79.7%  | 74.2% |
| 9  | Jacob Young         | WSH | 6-14 | 0/1  | 79.1%  | 62.7% |
| 10 | Jakob Marsee        | MIA | 5-13 | 3/1  | 78.9%  | 58.6% |
| 11 | Ronny Simon         | PIT | 6-19 | 1/1  | 78.1%  | 71.1% |
| 12 | Michael Busch       | CHC | 6-21 | 1/3  | 77.2%  | 61.5% |
| 13 | Otto Lopez          | MIA | 6-22 | 1/2  | 76.9%  | 74.1% |
| 14 | Carson Kelly        | CHC | 6-18 | 0/2  | 76.8%  | 69.5% |
| 15 | Pete Crow-Armstrong | CHC | 5-21 | 5/8  | 75.7%  | 72.7% |
| 16 | Andrés Chaparro     | WSH | 5-13 | 1/3  | 74.3%  | 66.0% |
| 17 | Brady House         | WSH | 5-17 | 2/7  | 73.4%  | 67.9% |
| 18 | Javier Báez         | DET | 5-19 | 2/2  | 72.3%  | 60.3% |
| 19 | José Ramírez        | CLE | 4-15 | 4/1  | 69.2%  | 66.3% |
| 20 | Seiya Suzuki        | CHC | 5-23 | 1/4  | 69.2%  | 71.1% |
| 21 | Daylen Lile         | WSH | 5-18 | 0/5  | 69.0%  | 59.6% |
| 22 | Nick Gonzales       | PIT | 5-19 | 0/3  | 68.7%  | 72.0% |
| 23 | Max Clark           | DET | 5-22 | 0/6  | 67.8%  | 58.8% |
| 24 | CJ Abrams           | WSH | 5-23 | 0/7  | 67.6%  | 67.2% |
| 25 | Bryan Reynolds      | PIT | 4-18 | 3/6  | 65.2%  | 68.2% |
| 26 | Harry Ford          | WSH | 4-15 | 2/5  | 65.2%  | 64.7% |
| 27 | Xavier Edwards      | MIA | 4-19 | 3/3  | 64.7%  | 71.8% |
| 28 | Leo Jiménez         | MIA | 4-16 | 1/3  | 62.4%  | 59.5% |
| 29 | Dillon Dingler      | DET | 4-22 | 2/4  | 61.8%  | 66.3% |
| 30 | Agustín Ramírez     | MIA | 3-9  | 2/4  | 59.0%  | 61.4% |
